event,op,regret,acc,eps_spent,capacity_remaining
322,insert,137793495138874.02,23634.45967511904,0.0,1.0
323,insert,137794424233227.77,43106.71302137351,0.0,1.0
324,insert,137797833388397.58,82573.06061681281,0.0,1.0
325,insert,137800918994643.95,78557.06519949678,0.0,1.0
326,insert,137808139697124.78,120172.39683742406,0.0,1.0
327,insert,137811190543313.1,78113.33033880212,0.0,1.0
328,insert,137824360804721.48,162297.6365101593,0.0,1.0
329,insert,137827519490136.5,79481.88995000625,0.0,1.0
330,insert,137828401361605.39,41996.93962408761,0.0,1.0
331,insert,137851538307744.16,215113.67292093975,0.0,1.0
332,insert,137868979739099.58,186769.5443878426,0.0,1.0
333,insert,137869092350002.19,15007.391686420917,0.0,1.0
334,insert,137880242972642.11,149336.0146778075,0.0,1.0
335,insert,137880244948586.4,1987.9357585482503,0.0,1.0
336,insert,137901103572483.11,204248.00560445752,0.0,1.0
337,insert,137942342085825.03,287188.13813221664,0.0,1.0
338,insert,137944401148621.25,64172.62338759478,0.0,1.0
339,insert,137957566865645.47,162269.63378413327,0.0,1.0
340,insert,137958024468608.98,30252.370601993636,0.0,1.0
341,insert,138005597790842.12,308458.49715362577,0.0,1.0
342,insert,138005600393426.2,2281.4837647793465,0.0,1.0
343,insert,138041507025604.7,267979.97006679623,0.0,1.0
344,insert,138043609166256.17,64840.4295401005,0.0,1.0
345,insert,138046634696215.64,77788.55904917579,0.0,1.0
346,insert,138051503154321.94,98675.8137164113,0.0,1.0
347,insert,138093465708082.48,289698.3043117342,0.0,1.0
348,insert,138115922622758.56,211928.83086580795,0.0,1.0
349,insert,138118208293446.44,67611.6955543743,0.0,1.0
350,insert,138118247790938.64,8887.912263592181,0.0,1.0
351,insert,138144007799890.06,226980.21478279613,0.0,1.0
352,insert,138144309898418.92,24580.42021058133,0.0,1.0
353,insert,138146683083170.97,68893.90034019735,0.0,1.0
354,insert,138150118532183.58,82890.88022943476,0.0,1.0
355,insert,138150517316442.77,28241.255609059706,0.0,1.0
356,insert,138157260362557.28,116129.63544689343,0.0,1.0
357,insert,138157640903624.86,27587.717106448465,0.0,1.0
358,insert,138158104022547.75,30434.15590703323,0.0,1.0
359,insert,138173697512594.28,176598.3581267221,0.0,1.0
360,insert,138174062240490.3,27008.439274244447,0.0,1.0
361,insert,138174558857953.2,31515.629865498224,0.0,1.0
362,insert,138174558971960.69,477.50913433436654,0.0,1.0
363,insert,138176302983720.1,59059.491352549056,0.0,1.0
364,insert,138176373577905.92,11882.27131682125,0.0,1.0
365,insert,138187949087029.94,152154.5866809078,0.0,1.0
366,insert,138201930501862.14,167220.90080011217,0.0,1.0
367,insert,138222587359340.39,203257.7549725608,0.0,1.0
368,insert,138225894322927.52,81326.05470729375,0.0,1.0
369,insert,138229292996098.3,82446.0207745598,0.0,1.0
370,insert,138229634150681.69,26121.048347593343,0.0,1.0
371,insert,138234762461180.55,101274.97715487852,0.0,1.0
372,insert,138234792459570.88,7745.758882059599,0.0,1.0
373,insert,138254480923111.7,198436.20405976998,0.0,1.0
374,insert,138274156746818.0,198372.49661328446,0.0,1.0
375,insert,138288515066734.31,169459.84725774993,0.0,1.0
376,insert,138288516099315.83,1437.0675108872674,0.0,1.0
377,insert,138317590924554.8,241142.38631552365,0.0,1.0
378,insert,138317726391256.95,16460.054808638582,0.0,1.0
379,insert,138319452477377.62,58755.189058992895,0.0,1.0
380,insert,138388197373226.12,370796.1592263365,0.0,1.0
381,insert,138389007103632.25,40242.52492374879,0.0,1.0
382,insert,138402677906852.95,165352.9753025914,0.0,1.0
383,insert,138418551117646.97,178175.25526301758,0.0,1.0
384,insert,138432694851071.12,168188.78336053938,0.0,1.0
