step,regret
68800,[5.54696065e+09]
68900,[5.54696066e+09]
69000,[5.54696068e+09]
69100,[5.5469607e+09]
69200,[5.54696071e+09]
69300,[5.54696072e+09]
69400,[5.54696074e+09]
69500,[5.54696076e+09]
69600,[5.54696078e+09]
69700,[5.54696079e+09]
69800,[5.54696081e+09]
69900,[5.54696082e+09]
70000,[5.54696083e+09]
70100,[5.54696084e+09]
70200,[5.54696086e+09]
70300,[5.54696087e+09]
70400,[5.54696088e+09]
70500,[5.54696089e+09]
70600,[5.54696091e+09]
70700,[5.54696092e+09]
70800,[5.54696094e+09]
70900,[5.54696095e+09]
71000,[5.54696096e+09]
71100,[5.54696097e+09]
71200,[5.54696099e+09]
71300,[5.546961e+09]
71400,[5.54696101e+09]
71500,[5.54696102e+09]
71600,[5.54696103e+09]
71700,[5.54696104e+09]
71800,[5.54696106e+09]
71900,[5.54696108e+09]
72000,[5.54696109e+09]
72100,[5.5469611e+09]
72200,[5.54696112e+09]
72300,[5.54696113e+09]
72400,[5.54696115e+09]
72500,[5.54696116e+09]
72600,[5.54696118e+09]
72700,[5.54696119e+09]
72800,[5.5469612e+09]
72900,[5.54696122e+09]
73000,[5.54696123e+09]
73100,[5.54696125e+09]
73200,[5.54696127e+09]
73300,[5.54696128e+09]
73400,[5.54696129e+09]
73500,[5.5469613e+09]
73600,[5.54696132e+09]
73700,[5.54696133e+09]
73800,[5.54696134e+09]
73900,[5.54696135e+09]
74000,[5.54696137e+09]
74100,[5.54696138e+09]
74200,[5.5469614e+09]
74300,[5.54696141e+09]
74400,[5.54696142e+09]
74500,[5.54696144e+09]
74600,[5.54696145e+09]
74700,[5.54696147e+09]
74800,[5.54696148e+09]
74900,[5.5469615e+09]
75000,[5.54696151e+09]
75100,[5.54696152e+09]
75200,[5.54696154e+09]
75300,[5.54696156e+09]
75400,[5.54696157e+09]
75500,[5.54696159e+09]
75600,[5.5469616e+09]
75700,[5.54696162e+09]
75800,[5.54696163e+09]
75900,[5.54696165e+09]
76000,[5.54696166e+09]
76100,[5.54696167e+09]
76200,[5.54696169e+09]
76300,[5.54696171e+09]
76400,[5.54696172e+09]
76500,[5.54696173e+09]
76600,[5.54696175e+09]
76700,[5.54696176e+09]
76800,[5.54696178e+09]
76900,[5.54696179e+09]
77000,[5.54696181e+09]
77100,[5.54696182e+09]
77200,[5.54696184e+09]
77300,[5.54696185e+09]
77400,[5.54696187e+09]
77500,[5.54696188e+09]
77600,[5.54696189e+09]
77700,[5.54696191e+09]
77800,[5.54696192e+09]
77900,[5.54696193e+09]
78000,[5.54696195e+09]
78100,[5.54696197e+09]
78200,[5.54696199e+09]
78300,[5.546962e+09]
78400,[5.54696201e+09]
78500,[5.54696203e+09]
78600,[5.54696204e+09]
78700,[5.54696205e+09]
78800,[5.54696206e+09]
78900,[5.54696208e+09]
79000,[5.54696209e+09]
79100,[5.5469621e+09]
79200,[5.54696212e+09]
79300,[5.54696213e+09]
79400,[5.54696215e+09]
79500,[5.54696216e+09]
79600,[5.54696218e+09]
79700,[5.54696219e+09]
79800,[5.5469622e+09]
79900,[5.54696221e+09]
80000,[5.54696223e+09]
80100,[5.54696224e+09]
80200,[5.54696225e+09]
80300,[5.54696226e+09]
80400,[5.54696227e+09]
80500,[5.54696229e+09]
80600,[5.5469623e+09]
80700,[5.54696231e+09]
80800,[5.54696232e+09]
80900,[5.54696233e+09]
81000,[5.54696234e+09]
81100,[5.54696236e+09]
81200,[5.54696237e+09]
